 site acronym Lat Lon status
0 Petrolina/PE PEPE -9.38 -40.5 atualizadas
1 Imperatriz/MA IMPZ -5.53 -47.48 atualizadas
2 Eusébio/CE CEEU -3.89 -38.45 atualizadas
3 "IFSC Florianopolis - IFSC/SC" IFSC -27.6 -48.57 atualizadas
4 Ubatuba/SP UBA1 -23.43 -45.08 atualizadas
5 Cananéia/SP NEIA -25.01 -47.93 atualizadas
6 "Ilha Solteira/SP" ILHA -20.43 -51.34 atualizadas
7 Itaberaba/BA BAIT -12.52 -40.31 atualizadas
8 "Belém/PA - INPE" BEPA   atualizadas
9 Araquari/SC SCAQ -26.44 -48.76 atualizadas
10 Viçosa/MG VICO -20.75 -42.88 atualizadas
11 Humaitá/AM AMHA -7.51 -63.02 atualizadas
12 Canarana/MT MTCN -13.56 -52.27 atualizadas
13 Cananeia/SP NEIA -25.01 -47.93 atualizadas
14 Vitoria(CEFET CEFE   atualizadas
15 "Ilha Solteira/SP" ILHA -20.43 -51.34 atualizadas
16 Cascavel/PR PRCV -24.96 -53.46 atualizadas
17 "Campo Grande/MS" MSCG -20.48 -54.61 atualizadas
18 "Santana - Docas/AP" APS1   atualizadas
19 "Cruzeiro do Sul/AC" CRUZ -7.63 -72.67 atualizadas
20 Macapá/AP APMA 0.04 -51.06 atualizadas
21 Goiânia/GO GOGY -16.65 -49.16 atualizadas
22 Botucatu/SP SPBO -22.89 -48.44 atualizadas
23 Chapecó/SC SCCH -27.09 -52.62 atualizadas
24 Guarapuava/PR PRGU -25.4 -51.46 atualizadas
25 Juína/MT MTJI -11.42 -58.76 atualizadas
26 "Nova Xavantina/MT" MTNX -14.68 -52.35 atualizadas
27 "Barra do Garças/MT" MTGA -15.89 -52.26 atualizadas
28 Recife/PE PERC -8.07 -34.88 atualizadas
29 Uberlândia/MG MGUB -18.92 -48.28 atualizadas
30 "Rio Branco/AC" RIOB -9.98 -67.82 atualizadas
31 Teresina/PI PITN -5.09 -42.81 atualizadas
32 Dourados/MS MSDR -22.22 -54.81 atualizadas
33 Corumbá/MS CORU -19.0 -57.65 atualizadas
34 "Passo Fundo/RS" RSPF -28.26 -52.4 atualizadas
35 "Cerro Largo/RS" RSCL -28.15 -54.74 atualizadas
36 Marabá/PA MABA -5.35 -49.1 atualizadas
37 "Bom Jesus da Lapa/BA" BABJ -13.25 -43.41 atualizadas
38 Vassouras/RJ RJVA -22.41 -43.66 atualizadas
39 Colíder/MT MTCO -10.81 -55.45 atualizadas
40 "Pau dos Ferros/RN" RNPF -6.11 -38.21 atualizadas
41 "Barra do Garças/MT" MTGA -15.89 -52.26 atualizadas
42 Jataí/GO GOJA -17.88 -51.72 atualizadas
43 "Foz do Iguaçu - ITAIPU/PR" ITAI   atualizadas
44 Tefé/AM AMTE -3.35 -64.71 atualizadas
45 "Boa Vista/RR" BOAV 2.82 -60.67 atualizadas
46 Belém/PA BEPA -1.45 -48.47 atualizadas
47 Piracicaba/SP SPPI -22.73 -47.65 atualizadas
48 Campina/SP SPC1 -23.64 -49.09 atualizadas
49 Palmas/TO TOPL -10.18 -48.33 atualizadas
50 "João Pessoa/PB" PBJP -7.12 -34.88 atualizadas
51 "Porto Velho/RO" POVE -8.75 -63.87 atualizadas
52 "Porto Alegre/RS" POAL -30.03 -51.23 atualizadas
53 "Salvador/BA - INCRA" SAVO -11.31 -38.22 atualizadas
54 Aquidauana/MS MSAQ -20.47 -55.78 atualizadas
55 "Afogados da Ingazeira/PE" PEAF -7.75 -37.63 atualizadas
56 Belém/PA BELE -1.45 -48.47 atualizadas
57 Aracaju/SE SEAJ -10.92 -37.08 atualizadas
58 "Campo Grande/MS" MSCG -20.48 -54.61 atualizadas
59 Jaíba/MG JAMG -15.34 -43.67 atualizadas
60 Bacabal/MA MABB -4.23 -44.78 atualizadas
61 "São Luís/MA" SALU -2.53 -44.3 atualizadas
62 Vitória/ES CEFE -20.32 -40.34 atualizadas
63 "Fortaleza (PORTO" CEFT -29.71 -51.57 atualizadas
64 "Belo Horizonte/MG" MGBH -19.92 -43.95 atualizadas
65 "Rio de Janeiro/RJ" RIOD -22.91 -43.21 atualizadas
66 "São Félix do Araguaia/MT" MTSF -11.62 -50.67 atualizadas
67 Balsas/MA MABS -7.53 -46.04 atualizadas
68 Jaíba/MG JAMG -15.34 -43.67 atualizadas
69 "Cruzeiro do Sul/AC" CRUZ -7.63 -72.67 atualizadas
70 Arapiraca/AL ALAR -9.75 -36.66 atualizadas
71 Gurupi/TO TOGU -11.73 -49.07 atualizadas
